case,width,depth,directions,diagonal,requested,allocated,status,http_seconds,planning_ms,response_bytes,stairs,min_platform,max_platform,diagonal_plots,edits,candidates,expanded,grade_work,exhausted
default128,128,128,8,False,7,7,COMPLETE,1.771,1318.015,610196,72,66,73,0,10727,9280,64806,30242,ROUTE_OR_SLOT_EXPANSIONS
repeat128,128,128,8,False,7,7,COMPLETE,1.64,1220.276,610196,72,66,73,0,10727,9280,64806,30242,ROUTE_OR_SLOT_EXPANSIONS
roll128,128,128,8,False,7,7,COMPLETE,2.91,2492.919,643008,93,65,73,0,11839,13477,180000,121976,ROUTE_OR_SLOT_EXPANSIONS|PATH_EXPANSIONS
size256,256,256,8,False,7,7,COMPLETE,1.333,701.294,1845219,151,64,75,0,14388,9267,7276,65566,
size512,512,512,8,False,7,7,COMPLETE,3.237,1838.725,8005863,96,66,71,0,13750,9273,101073,113435,ROUTE_OR_SLOT_EXPANSIONS
custom192x96,192,96,12,True,7,7,COMPLETE,2.783,2391.151,640316,61,63,67,2,11152,9280,160381,35326,ROUTE_OR_SLOT_EXPANSIONS
reference512,512,512,8,False,7,7,COMPLETE,3.836,2333.905,7500768,360,70,73,0,16048,23993,128972,105829,ROUTE_OR_SLOT_EXPANSIONS
loop128,128,128,8,False,7,7,COMPLETE,1.044,677.509,563093,3,59,60,0,10132,9280,14685,31151,
mixed128,128,128,8,False,7,7,COMPLETE,2.897,2505.915,609561,41,60,66,0,10576,16640,180000,38887,ROUTE_OR_SLOT_EXPANSIONS|PATH_EXPANSIONS
single_courtyard,128,128,8,False,1,1,COMPLETE,0.688,309.019,445285,3,59,59,0,2896,7360,4586,1731,
budget_rejection,64,64,8,False,1,0,INFEASIBLE,0.727,460.148,126144,0,0,0,0,0,12288,13437,0,GROUND_COLUMNS
